,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Yearly_uni2ts,3742026.1938264687,896.5302055726258,0.14851366024876927,3.370590654405783,0.14374070065662534,0.31014747002423876,11644.324406147003
chronos_m4_Yearly_uni2ts,4083890.6903768117,1009.039087352808,0.17346085108881412,3.8538486705100015,0.1617792512784055,0.324005129525389,7947.745942115784
moirai_m4_Yearly_uni2ts,8510183.601101449,1130.9296987658515,0.18963420884505564,4.326252783811633,0.18132197474613815,0.4677182285176879,18614.154135465622
