,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Yearly_uni2ts,3742026.07062485,896.5302002212137,0.1485136593097559,3.370590627320896,0.1437406997986333,0.3101474649186263,2199.6818759441376
chronos_m4_Yearly_uni2ts,4083912.014927536,1009.0433860960144,0.1734614194648853,3.85385423454399,0.1617799404959651,0.3240059754411252,2591.7115852832794
moirai_m4_Yearly_uni2ts,1847306542.53629,1134.6917571897643,0.1898369977370552,4.325562696786942,0.1819251456269441,6.891032773603256,2923.3330612182617
