,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Quarterly_uni2ts,2129000.620108458,627.5537451718649,0.11395180903940676,1.4006271902639804,0.10504144597639316,0.24422924097400145,2310.2978653907776
chronos_m4_Quarterly_uni2ts,2035938.1237552084,610.1753536173503,0.11306360758841037,1.3042259135788465,0.10213260925655138,0.23883174576535737,6256.354277610779
moirai_m4_Quarterly_uni2ts,3205946.4732630206,674.9710309041341,0.12373767377932866,1.5200363112436208,0.11297826460892207,0.29970079799068555,3112.554338693619
