,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Hourly_uni2ts_minmax,554651.1096036487,196.09427517983767,0.09333961007363474,0.7676326152964376,0.026771200451084935,0.10167469399262491,211.9557101726532
chronos_m4_Hourly_uni2ts_minmax,1420641.2434865541,245.25729250639148,0.0822298539241539,0.7766708118651359,0.03348303836895527,0.16272157542255203,6920.429605484009
moirai_m4_Hourly_uni2ts_minmax,1665787.052805509,274.90188403290824,0.10912423970810649,1.177696016892132,0.037530179986522055,0.17620274588978535,456.64032912254333
