,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Daily_uni2ts,361764.37331104005,173.3325472897509,0.02977221984015688,1.1429595505288406,0.026775088178374613,0.09291026267241162,419.297420501709
chronos_m4_Daily_uni2ts,1090942.4027932677,193.88026948194167,0.03143497012378582,1.2075232251400871,0.02994914338129601,0.1613435845773946,3446.1479160785675
moirai_m4_Daily_uni2ts,5841417.753067018,221.74482950602948,0.036678809034904544,1.4233019565406249,0.0342534478143774,0.3733446423782891,554.9501492977142
