,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Weekly_uni2ts,297166.25900231174,285.7945852514659,0.06935729999274692,0.47974703899992954,0.052067341328407235,0.09931415560458745,319.2137198448181
chronos_m4_Weekly_uni2ts,281565.83758302976,272.40733976590957,0.06595619010393998,0.4485869428955634,0.04962839281043469,0.09667215196596113,289.8147382736206
moirai_m4_Weekly_uni2ts,743871.7081637026,417.7746344011142,0.10882021616070742,0.7297981043700831,0.07611205953595576,0.15713047619332315,318.54470562934875
