,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Weekly_uni2ts,290747.9754917966,282.17485129922625,0.06739032713220557,0.4740270033082801,0.051407881937168394,0.0982357930777328,337.22344303131104
chronos_m4_Weekly_uni2ts,333892.3912577673,291.87891043496893,0.06737252683539398,0.4725741601949744,0.05317581102108435,0.10527243468682078,209.2660915851593
moirai_m4_Weekly_uni2ts,1265514.004713949,465.73197115384613,0.12027591818120256,0.7578328974348784,0.08484914256959261,0.2049485659085629,245.68387079238892
