,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Weekly_uni2ts,297166.25900231174,285.7945852514659,0.06935729999274692,0.47974703899992954,0.052067341328407235,0.09931415560458745,333.2024812698364
chronos_m4_Weekly_uni2ts,277743.8290122134,275.79849374598246,0.06602758857558672,0.45288679573496876,0.05024620847556453,0.09601379044922174,438.92463397979736
moirai_m4_Weekly_uni2ts,653698.2275551746,394.76733665229267,0.1013250402038195,0.6759547518852592,0.07192048668345351,0.14729908859189958,505.88314938545227
