,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Monthly_uni2ts,2028583.5413331129,580.2596368922415,0.1369467839280159,0.9569433635556381,0.12059787235636032,0.29601500958154153,4803.128144264221
chronos_m4_Monthly_uni2ts,2224144.7060613427,602.6409214409722,0.14135864778690868,0.9968322653088247,0.12524947161567682,0.3099551122343294,27272.890239953995
moirai_m4_Monthly_uni2ts,4540431.745306713,637.6171209671586,0.14940982232270417,1.122681222780509,0.13251872657981786,0.442859392208611,6225.532006263733
