,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
m4_Yearly,3958447.548057971,978.8458872282608,0.1694787783968276,3.70170422416241,0.156938375994516,0.3189901560888992,628.5475475788116
m4_Quarterly,2083754.2936666666,623.3934641927083,0.11566578396161398,1.3354978357888025,0.10434508803077097,0.2416200772979494,1103.4318358898163
m4_Monthly,2120032.5547175924,601.3335837673611,0.14091515654104728,1.0257563636096434,0.12497776190720523,0.3026136742656585,4899.118737220764
m4_Weekly,400745.5924576816,301.3145489607885,0.07209914824373594,0.49888349714790353,0.054894835889625244,0.11533092261361286,43.55480098724365
m4_Daily,1037418.110378857,202.9549304640238,0.031816795181779274,1.2279434418504478,0.031350927676652054,0.15733585427722152,642.7800540924072
m4_Hourly,2142440.9420289854,262.8060005912842,0.08770191112770166,0.8387634392464537,0.03587882197219921,0.1998284536253832,114.82571697235107
