,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
m4_Yearly,3742026.193020266,896.5302055814716,0.14851366029446286,3.3705906565599677,0.14374070150347917,0.31014747181501445,3635.85852766037
m4_Quarterly,2129000.7449990003,627.5537521635295,0.11395181026256836,1.4006271845078488,0.1050414469749746,0.24422924773822247,3831.1826400756836
m4_Monthly,2028583.5612485134,580.2596376930629,0.13694678384914435,0.9569433579215747,0.12059787246477913,0.2960150108921771,7472.2265655994415
m4_Weekly,297166.25042102404,285.7945821781293,0.06935729863292142,0.4797470312836209,0.05206733873595351,0.09931415029373583,65.53984951972961
m4_Daily,361764.38218717964,173.33254745631916,0.02977221982745427,1.1429595727333086,0.026775088177895676,0.09291026372127406,739.7855002880096
m4_Hourly,554651.6406990364,196.0942936963409,0.09333957936300084,0.7676324375351665,0.026771200952283327,0.1016747349736424,92.11003994941711
