,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Hourly_uni2ts,554651.4712300976,196.0942856233189,0.093339577111901,0.7676324094617258,0.02677120187685083,0.10167472713801298,175.61518025398254
chronos_m4_Hourly_uni2ts,1385141.3081777222,237.07138482000133,0.07992242307862606,0.7176675470838068,0.03236548113611178,0.16067561522502874,6924.442325592041
moirai_m4_Hourly_uni2ts,1479882.4060431954,264.1788690109376,0.10838412624242418,1.2190249204664243,0.0360662515555166,0.1660796933994728,365.23982882499695
