,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Weekly_uni2ts,297166.16281363234,285.7945627572579,0.069357298174901,0.4797470259701373,0.05206733595997428,0.09931413710820199,38.73584866523743
chronos_m4_Weekly_uni2ts,249611.84401114206,260.1765437513392,0.06223241946210385,0.4314654455212411,0.047400130295382606,0.09102150030398014,289.9249200820923
moirai_m4_Weekly_uni2ts,594157.2401971287,396.38169762427685,0.10282484928749858,0.6818882113373973,0.0722145964551386,0.1404307101945752,47.200353384017944
