,MSE[mean],MAE[0.5],sMAPE[0.5],MASE[0.5],ND[0.5],NRMSE[mean],total_time_eval
timesfm_m4_Hourly_uni2ts,554651.0493917564,196.09423380130346,0.09333958101834046,0.7676325484940033,0.02677119480200093,0.10167468847381697,43.3210244178772
chronos_m4_Hourly_uni2ts,1385142.596447689,237.07156116221455,0.0799224312370718,0.7176676072302893,0.03236550521071944,0.16067568994430834,626.0333120822906
moirai_m4_Hourly_uni2ts,1850453.7002280415,279.75575425275474,0.10826013322421701,1.2144041821691336,0.03819284049764555,0.18571288748658835,57.92528939247131
