group,MASE_Naive2,sMAPE_Naive2,total_time_eval
Hourly,1.1932101877276544,0.1391227290508794,0.1136159896850586
Daily,1.4517844037817418,0.03741925075735383,0.5499396324157715
Weekly,1.2213215287048724,0.14516870097196724,0.0314486026763916
Monthly,1.25971703894627,0.15988281561275022,4.80901837348938
Quarterly,1.6022471746457092,0.12521366831532776,2.4940543174743652
Yearly,3.974360257588657,0.163421734905527,1.7839818000793457
