group,model,MASE,sMAPE,source_all_csv,MASE_Naive2,sMAPE_Naive2,total_time_eval,OWA
Daily,TimesFM,1.1429595505288406,0.0297722198401568,ALL_m4_Daily_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.4517844037817418,0.03741925075735383,0.5499396324157715,0.7914591222160495
Daily,Chronos Base,1.2075232251400871,0.0314349701237858,ALL_m4_Daily_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.4517844037817418,0.03741925075735383,0.5499396324157715,0.8359129399446195
Daily,Moirai Base,1.4233019565406249,0.0366788090349045,ALL_m4_Daily_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.4517844037817418,0.03741925075735383,0.5499396324157715,0.9802966773408492
Hourly,TimesFM,0.7676325484940033,0.0933395810183404,ALL_m4_Hourly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.1932101877276544,0.1391227290508794,0.1136159896850586,0.6571246422654249
Hourly,Chronos Base,0.7176676072302893,0.0799224312370718,ALL_m4_Hourly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.1932101877276544,0.1391227290508794,0.1136159896850586,0.5879668976844867
Hourly,Moirai Base,1.2144041821691336,0.108260133224217,ALL_m4_Hourly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.1932101877276544,0.1391227290508794,0.1136159896850586,0.8979624847761636
Monthly,TimesFM,0.956943363555638,0.1369467839280159,ALL_m4_Monthly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.25971703894627,0.15988281561275022,4.80901837348938,0.8080970955753874
Monthly,Chronos Base,0.9968322653088248,0.1413586477869086,ALL_m4_Monthly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.25971703894627,0.15988281561275022,4.80901837348938,0.8377267600263025
Monthly,Moirai Base,1.122681222780509,0.1494098223227041,ALL_m4_Monthly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.25971703894627,0.15988281561275022,4.80901837348938,0.9128564013041671
Quarterly,TimesFM,1.4006271902639804,0.1139518090394067,ALL_m4_Quarterly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.6022471746457092,0.12521366831532776,2.4940543174743652,0.8921115552216088
Quarterly,Chronos Base,1.3042259135788463,0.1130636075884103,ALL_m4_Quarterly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.6022471746457092,0.12521366831532776,2.4940543174743652,0.8584816643708366
Quarterly,Moirai Base,1.5200363112436208,0.1237376737793286,ALL_m4_Quarterly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.6022471746457092,0.12521366831532776,2.4940543174743652,0.9684512336146633
Weekly,TimesFM,0.4797470259701373,0.069357298174901,ALL_m4_Weekly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.2213215287048724,0.14516870097196724,0.0314486026763916,0.4352900488671161
Weekly,Chronos Base,0.4314654455212411,0.0622324194621038,ALL_m4_Weekly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.2213215287048724,0.14516870097196724,0.0314486026763916,0.39098393085491623
Weekly,Moirai Base,0.6818882113373973,0.1028248492874985,ALL_m4_Weekly_uni2ts_c512_b64_cs10_ms10_mb64.csv,1.2213215287048724,0.14516870097196724,0.0314486026763916,0.6333163907326747
Yearly,TimesFM,3.370590627320896,0.1485136593097559,ALL_m4_Yearly_uni2ts_c512_b64_cs10_ms10_mb64.csv,3.974360257588657,0.163421734905527,1.7839818000793457,0.8784296305615874
Yearly,Chronos Base,3.85385423454399,0.1734614194648853,ALL_m4_Yearly_uni2ts_c512_b64_cs10_ms10_mb64.csv,3.974360257588657,0.163421734905527,1.7839818000793457,1.0155566728365322
Yearly,Moirai Base,4.325562696786942,0.1898369977370552,ALL_m4_Yearly_uni2ts_c512_b64_cs10_ms10_mb64.csv,3.974360257588657,0.163421734905527,1.7839818000793457,1.125002825725445
